box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,weight_kg,density_kg_m3,family,is_food,is_chemical,fragile,retrieval_priority,support_fraction
0,1,1,2,0,0,350,550,250,200,350,6.13,537.2103621130858,chilled_food,True,False,False,1,1.0
1,2,2,1,0,0,0,0,550,350,550,21.43,224.90801125904406,dry_food,True,False,False,4,1.0
2,3,2,1,0,550,0,0,550,350,550,22.46,235.71786900971208,dry_food,True,False,False,4,1.0
3,4,2,1,0,0,350,0,550,350,550,20.57,215.88230478761253,dry_food,True,False,False,4,1.0
4,5,2,1,0,550,350,0,550,350,550,22.97,241.0703228474215,dry_food,True,False,False,4,1.0
5,6,2,2,0,0,0,0,550,350,550,19.76,207.38134869242703,dry_food,True,False,False,4,1.0
6,7,2,2,0,550,0,0,550,350,550,21.06,221.02485847482353,dry_food,True,False,False,4,1.0
7,8,2,2,0,0,350,0,550,350,550,20.82,218.50605666884263,dry_food,True,False,False,4,1.0
8,9,2,2,0,550,350,0,550,350,550,20.29,212.94370268063483,dry_food,True,False,False,3,1.0
9,10,2,1,0,0,0,550,550,350,550,19.07,200.13979350023195,dry_food,True,False,False,4,1.0
10,11,2,1,0,550,0,550,550,350,550,19.87,208.53579952016827,dry_food,True,False,False,4,1.0
11,12,2,1,0,0,350,550,550,350,550,21.81,228.89611411851382,dry_food,True,False,False,4,1.0
12,13,2,1,0,550,350,550,550,350,550,23.11,242.53962390091033,dry_food,True,False,False,4,1.0
13,14,2,2,0,0,0,550,550,350,550,24.49,257.0227342853005,dry_food,True,False,False,4,1.0
14,15,2,2,0,550,0,550,550,350,550,19.4,203.60314598345568,dry_food,True,False,False,4,1.0
15,16,3,2,0,250,350,550,250,250,150,2.33,392.2492887325129,personal_care,False,True,False,6,1.0
16,17,3,2,0,500,350,550,250,250,150,1.6,269.3557347519402,personal_care,False,True,False,6,1.0
17,18,3,2,0,750,350,550,250,250,150,2.46,414.13444218110806,personal_care,False,True,True,6,1.0
