solution,pallets,height,accessibility,category_distance,recommended
solution_000_p2,2.0,0.1111111111111111,0.0,0.5150462962962963,False
solution_001_p2,2.0,0.1388888888888889,0.0,0.3567708333333333,False
solution_002_p2,2.0,0.18055555555555555,0.0,0.3023726851851852,True
solution_003_p2,2.0,0.19444444444444445,0.0,0.2971643518518518,False
solution_004_p2,2.0,0.19444444444444445,0.0,0.2971643518518518,False
solution_005_p2,2.0,0.19444444444444445,0.0,0.2971643518518518,False
solution_006_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_007_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_008_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_009_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_010_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_011_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_012_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_013_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_014_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_015_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_016_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_017_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_018_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_019_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_020_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_021_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_022_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_023_p2,2.0,0.2222222222222222,0.0,0.26070601851851855,False
solution_024_p2,2.0,0.3472222222222222,0.0,0.25896990740740744,False
solution_025_p2,2.0,0.3472222222222222,0.0,0.25896990740740744,False
solution_026_p3,3.0,0.10185185185185185,0.0,0.4933449074074074,False
solution_027_p3,3.0,0.12037037037037036,0.0,0.3532986111111111,False
solution_028_p3,3.0,0.12037037037037036,0.0,0.35329861111111116,False
solution_029_p3,3.0,0.14814814814814814,0.0,0.30526620370370366,False
solution_030_p3,3.0,0.14814814814814814,1.0,0.30179398148148145,False
solution_031_p3,3.0,0.1574074074074074,0.0,0.2971643518518518,False
solution_032_p3,3.0,0.1574074074074074,0.0,0.2971643518518518,False
solution_033_p3,3.0,0.17592592592592593,0.0,0.26070601851851855,False
solution_034_p3,3.0,0.17592592592592593,0.0,0.26070601851851855,False
solution_035_p3,3.0,0.25925925925925924,0.0,0.25896990740740744,False
solution_036_p3,3.0,0.25925925925925924,0.0,0.25896990740740744,False
