box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,weight_kg,density_kg_m3,family,is_food,is_chemical,fragile,retrieval_priority,support_fraction
0,1,1,3,1,600,0,0,300,600,600,25.0,262.65304793102945,chilled_food,True,False,True,1,1.0
1,2,1,1,1,300,0,0,300,600,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
2,3,1,1,1,0,200,0,300,600,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
3,4,1,1,1,600,200,0,300,600,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
4,5,1,2,1,600,200,0,300,600,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
5,6,1,2,1,900,200,0,300,600,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
6,7,1,2,0,0,0,0,600,300,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
7,8,1,3,0,0,300,0,600,300,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
8,9,1,3,1,900,0,0,300,600,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
9,10,1,2,0,0,400,0,600,300,600,25.0,262.65304793102945,chilled_food,True,False,True,1,1.0
10,11,1,3,0,0,0,0,600,300,600,25.0,262.65304793102945,chilled_food,True,False,False,1,1.0
11,12,2,1,1,900,400,0,300,400,500,9.56,209.8834005501755,personal_care,False,True,False,6,1.0
